-2,6,-2,24,-2,42,-2,60,-2,-2,84,-2,102,-2,120,-2,138,-2,-2,162,-2,180,-2,198,-2,216,-2,-2,240,-2,258,-2,276,-2,294,-2
0,-2,18,-2,36,-2,54,-2,72,78,-2,96,-2,114,-2,132,-2,150,156,-2,174,-2,192,-2,210,-2,228,234,-2,252,-2,270,-2,288,-2,306
-2,8,-2,26,-2,44,-2,62,-2,-2,86,-2,104,-2,122,-2,140,-2,-2,164,-2,182,-2,200,-2,218,-2,-2,242,-2,260,-2,278,-2,296,-2
-2,10,-2,28,-2,46,-2,64,-2,-2,88,-2,106,-2,124,-2,142,-2,-2,166,-2,184,-2,202,-2,220,-2,-2,244,-2,262,-2,280,-2,298,-2
2,-2,10,-2,38,-2,56,-2,74,80,-2,98,-2,116,-2,134,-2,152,158,-2,176,-2,194,-2,212,-2,230,236,-2,254,-2,272,-2,290,-2,308
-2,12,-2,30,-2,48,-2,66,-2,-2,90,-2,108,-2,126,-2,144,-2,-2,168,-2,186,-2,204,-2,222,-2,-2,246,-2,264,-2,282,-2,300,-2
-2,14,-2,32,-2,50,-2,68,-2,-2,92,-2,110,-2,128,-2,146,-2,-2,170,-2,188,-2,206,-2,224,-2,-2,248,-2,266,-2,284,-2,302,-2
4,-2,22,-2,40,-2,58,-2,76,82,-2,100,-2,118,-2,136,-2,154,160,-2,178,-2,196,-2,214,-2,232,238,-2,256,-2,274,-2,292,-2,310
-2,16,-2,34,-2,52,-2,70,-2,-2,94,-2,112,-2,130,-2,148,-2,-2,172,-2,190,-2,208,-2,226,-2,-2,250,-2,268,-2,286,-2,304,-2
-1,7,-1,25,-1,43,-1,61,-1,-1,85,-1,103,-1,121,-1,139,-1,-1,163,-1,181,-1,199,-1,217,-1,-1,241,-1,259,-1,277,-1,295,-1
1,-1,19,-1,37,-1,55,-1,73,79,-1,97,-1,115,-1,133,-1,151,157,-1,175,-1,193,-1,211,-1,229,235,-1,253,-1,271,-1,289,-1,307
-1,9,-1,27,-1,45,-1,63,-1,-1,87,-1,105,-1,123,-1,141,-1,-1,165,-1,183,-1,201,-1,219,-1,-1,243,-1,261,-1,279,-1,297,-1
-1,11,-1,29,-1,47,-1,65,-1,-1,89,-1,107,-1,125,-1,143,-1,-1,167,-1,185,-1,203,-1,221,-1,-1,245,-1,263,-1,281,-1,299,-1
3,-1,11,-1,39,-1,57,-1,75,81,-1,99,-1,117,-1,135,-1,153,159,-1,177,-1,195,-1,213,-1,231,237,-1,255,-1,273,-1,291,-1,309
-1,13,-1,31,-1,49,-1,67,-1,-1,91,-1,109,-1,127,-1,145,-1,-1,169,-1,187,-1,205,-1,223,-1,-1,247,-1,265,-1,283,-1,301,-1
-1,15,-1,33,-1,51,-1,69,-1,-1,93,-1,111,-1,129,-1,147,-1,-1,171,-1,189,-1,207,-1,225,-1,-1,249,-1,267,-1,285,-1,303,-1
5,-1,23,-1,41,-1,59,-1,77,83,-1,101,-1,119,-1,137,-1,155,161,-1,179,-1,197,-1,215,-1,233,239,-1,257,-1,275,-1,293,-1,311
-1,17,-1,35,-1,53,-1,71,-1,-1,95,-1,113,-1,131,-1,149,-1,-1,173,-1,191,-1,209,-1,227,-1,-1,251,-1,269,-1,287,-1,305,-1
